pdf_id,title,committee_name,conf_date,url
418회-2차-법안심사제2소위원회-2024-11-25,제22대국회 제418회 2차 법안심사제2소위원회,법안심사제2소위원회,2024-11-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054422&fileId=0000123097&deviceGubun=P&imsiYn=P
421회-1차-법안심사제1소위원회-2025-01-22,제22대국회 제421회 1차 법안심사제1소위원회,법안심사제1소위원회,2025-01-22,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054709&fileId=0000124529&deviceGubun=P&imsiYn=P
418회-1차-문화예술법안심사소위원회-2024-11-20,제22대국회 제418회 1차 문화예술법안심사소위원회,문화예술법안심사소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054442&fileId=0000123137&deviceGubun=P&imsiYn=P
418회-12차-행정안전위원회-2024-11-20,제22대국회 제418회 12차 행정안전위원회,행정안전위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054418&fileId=0000123089&deviceGubun=P&imsiYn=P
418회-2차-정보위원회-2024-11-20,제22대국회 제418회 2차 정보위원회,정보위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054431&fileId=0000123115&deviceGubun=P&imsiYn=P
418회-3차-예산결산기금심사소위원회-2024-11-20,제22대국회 제418회 3차 예산결산기금심사소위원회,예산결산기금심사소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054391&fileId=0000122976&deviceGubun=P&imsiYn=P
418회-2차-예산결산심사소위원회-2024-11-20,제22대국회 제418회 2차 예산결산심사소위원회,예산결산심사소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054461&fileId=0000123209&deviceGubun=P&imsiYn=P
418회-4차-조세소위원회-2024-11-20,제22대국회 제418회 4차 조세소위원회,조세소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054415&fileId=0000123083&deviceGubun=P&imsiYn=P
418회-4차-예산·결산기금심사소위원회-2024-11-20,제22대국회 제418회 4차 예산·결산기금심사소위원회,예산·결산기금심사소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054389&fileId=0000122971&deviceGubun=P&imsiYn=P
418회-3차-과학기술원자력법안심사소위원회-2024-11-20,제22대국회 제418회 3차 과학기술원자력법안심사소위원회,과학기술원자력법안심사소위원회,2024-11-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054429&fileId=0000123111&deviceGubun=P&imsiYn=P
